"","Finland","Sweden","Norway","Denmark","Iceland"
1960,2758982,4927511,2257635,2940617,100188
1961,2800637,4972641,2279903,2976218,101829
1962,2847308,5018305,2304127,3012059,103588
1963,2893075,5058497,2324506,3041799,105462
1964,2929871,5098349,2341383,3065082,107530
1965,2957576,5138475,2355766,3084639,109734
1966,2983517,5171550,2368562,3102047,112023
1967,3013503,5192090,2382558,3118640,114312
1968,3041209,5206410,2398319,3133691,116523
1969,3050645,5230779,2413759,3149757,118367
1970,3050589,5264846,2428280,3172152,119772
1971,3070070,5283691,2443749,3191505,121632
1972,3103738,5280306,2461025,3205183,124350
1973,3132676,5269808,2477161,3219554,127055
1974,3156498,5263531,2491842,3229500,129710
1975,3174221,5263730,2505386,3234433,132496
1976,3185506,5268095,2518674,3242225,134721
1977,3195107,5276515,2532144,3255808,136567
1978,3207298,5287578,2545801,3273393,138589
1979,3220857,5304303,2560654,3294154,140734
1980,3236466,5327121,2577037,3316051,142856
1981,3257494,5349371,2595574,3338634,145210
1982,3281958,5368741,2614396,3359432,147785
1983,3304833,5383830,2632458,3374547,150086
1984,3325745,5395614,2652161,3386581,152035
1985,3338646,5399714,2668949,3397571,153620
1986,3342962,5402782,2684327,3409935,155066
1987,3345440,5417246,2705023,3426050,157360
1988,3344810,5438941,2725352,3438973,160583
1989,3346792,5469632,2737787,3448781,162893
1990,3355727,5502023,2746374,3462107,164125
1991,3369870,5524992,2757657,3476601,166135
1992,3384938,5542327,2771010,3488806,168074
1993,3396122,5560607,2786174,3499894,169407
1994,3403789,5590492,2801574,3510374,170907
1995,3409589,5617694,2815342,3525189,172101
1996,3416505,5630760,2828784,3539628,173359
1997,3426968,5642084,2844392,3547207,175231
1998,3441552,5657246,2864099,3552376,177709
1999,3455387,5677856,2888005,3556408,180394
2000,3464352,5705560,2911610,3560844,183208
2001,3471758,5740198,2932188,3567227,185885
2002,3478324,5778058,2955266,3573414,187806
2003,3483581,5818303,2980551,3578487,189650
2004,3488772,5858520,3006006,3583778,192104
2005,3499298,5902015,3035172,3590112,196515
2006,3507266,5955758,3070301,3598201,203084
2007,3518847,6009971,3113061,3608446,209875
2008,3536864,6052458,3159344,3620404,214386
2009,3547864,6085118,3199966,3627842,214379
2010,3549606,6105521,3237006,3629335,212920
2011,3539610,6112322,3275246,3627006,212873
2012,3524876,6115482,3313697,3624206,213391
2013,3508386,6125446,3349005,3627270,214817
2014,3491693,6147147,3382146,3637286,216736
2015,3475929,6179135,3411090,3656091,218787
2016,3463631,6230295,3434222,3677758,222056
2017,3451227,6293336,3452963,3693665,228127
2018,3437072,6350231,3467292,3704032,235299
2019,3426873,6402513,3485000,3710063,240991
2020,3419944,6442152,3499828,3713686,244499
2021,3417691,6476727,3511912,3722898,247524
